,categoria,subcategoria,marca,nombre,descripcion,precio,numero_valoraciones,valoracion,num_variaciones,fecha_extraccion,url_producto,formato,responsabilidad,efecto_sombra,efecto_labios,efecto_mascara,formulacion,tipo_piel,cobertura,acabado,textura
0,Rostro,Base de maquillaje,Fenty Beauty,Soft' Lit Naturally Luminous Foundation,Base de maquillaje hidratante,40.0,73,4.7,50,2025-05-06,https://www.sephora.es/p/soft-lit-naturally-luminous-foundation---base-de-maquillaje-P10057913.html,Standard,,,,,,Todo tipo de pieles,Media,Natural,Liquido
1,Rostro,Base de maquillaje,Haus Labs,Triclone Skin Tech Foundation,Cobertura media con arnica fermentada,49.99,35,4.5,51,2025-05-06,https://www.sephora.es/p/triclone-skin-tech-foundation---cobertura-media-con-arnica-fermentada-P10050998.html,"Standard, Frasco","Vegano, Clean at Sephora",,,,,Todo tipo de pieles,Media,Natural,Liquido
2,Rostro,Antiojeras & corrector,Haus Labs,Triclone Skin Tech Hydrating Concealer with Fermented Arnica,Corrector,34.99,20,4.1,30,2025-05-06,https://www.sephora.es/p/triclone-skin-tech-hydrating-concealer-with-fermented-arnica---corrector-P10052817.html,Standard,"Vegano, Clean at Sephora",,,,,Todo tipo de pieles,Media,Natural,Liquido
3,Rostro,Colorete,Haus Labs,Color Fuse Talc-Free Powder Blush With Fermented Arnica,Colorete en polvo,32.99,18,4.8,6,2025-05-06,https://www.sephora.es/p/color-fuse-talc-free-powder-blush-with-fermented-arnica---colorete-en-polvo-P10057652.html,Standard,"Vegano, Clean at Sephora",,,,,,,,Polvo compacto
4,Rostro,Iluminador,Haus Labs,Bio-Radiant Gel-Powder Highlighter,Iluminador con arnica fermentada,46.99,8,4.8,5,2025-05-06,https://www.sephora.es/p/bio-radiant-gel-powder-highlighter---iluminador-con-arnica-fermentada-P10050991.html,,"Vegano, Clean at Sephora",,,,,,,,
5,Labios,Gloss/ Brillo labial,Haus Labs,PhD Hybrid Lip Oil,Aceite híbrido para labios,25.99,7,4.3,5,2025-05-06,https://www.sephora.es/p/phd-hybrid-lip-oil---aceite-hibrido-para-labios-P10050996.html,,"Vegano, Clean at Sephora",,,,,,,,
6,Ojos,Paleta de sombras de ojos,Nars,Sweet Kiss Quad Eyeshadow,Paleta de 4 sombras de ojos,52.0,2,4.0,0,2025-05-06,https://www.sephora.es/p/sweet-kiss-quad-eyeshadow---paleta-de-4-sombras-de-ojos-757302.html,Set/Estuche/Kit,,,,,,,,,
7,Estuches maquillaje,Estuches de labiales,Fenty Beauty,Cherry Mouth,Estuche Trío de Labios,51.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/cherry-mouth---estuche-trio-de-labios-757513.html,,,,,,,Todo tipo de pieles,,,
8,Estuches maquillaje,Estuches de labiales,Tarte,Maracuja Juicy Lip Duo,Dúo para los labios,29.0,1,3.0,0,2025-05-06,https://www.sephora.es/p/maracuja-juicy-lip-duo---duo-para-los-labios-757451.html,,,,"Hidratante, Larga duración, Natural, Voluminizador",,,Todo tipo de pieles,,,"Liquido, Crema, Gel, Agua/Bruma"
9,Estuches maquillaje,Estuches de labiales,Too Faced,Lip Injection Plumping Icons,Estuche Labios,50.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/lip-injection-plumping-icons---estuche-labios-744246.html,Set/Estuche/Kit,,,,,,,,,Liquido
10,Labios,Barra de labios,Benefit Cosmetics,Benetint edición limitada,tinte líquido para labios y mejillas,40.0,3,4.0,0,2025-05-06,https://www.sephora.es/p/benetint-edicion-limitada---tinte-liquido-para-labios-y-mejillas-739116.html,,,,,,,,,,Liquido
11,Pinceles & accesorios,Estuche de pinceles,Sephora Collection,El Estuche de Brochas de Iniciación,"Aplicación intuitiva, acabado perfecto",42.99,94,4.9,0,2025-05-06,https://www.sephora.es/p/el-estuche-de-brochas-de-iniciacion---aplicacion-intuitiva-acabado-perfecto-697582.html,Set/Estuche/Kit,Vegano,,,,,Todo tipo de pieles,,,
12,Paletas maquillaje,Paleta rostro,Make Up For Ever,HD Skin All-In-One Palette,Paleta de maquillaje todo en uno,85.0,263,4.0,2,2025-05-06,https://www.sephora.es/p/hd-skin-all-in-one-palette---paleta-para-rostro-P10034209.html,Set/Estuche/Kit,Vegano,,,,,"Todo tipo de pieles, Piel normal, Piel mixta, Piel seca",Media,Natural,"Crema, Polvo compacto"
13,Labios,Barra de labios,Dior,Dior Addict,Barra de labios brillante 90 % de ingredientes de origen natural,51.0,977,4.5,26,2025-05-06,https://www.sephora.es/p/dior-addict---barra-de-labios-reccargable-P10024435.html,"Standard, Frasco recargable/Vaporizador",,,"Hidratante, Brillante / Glossy",,,Todo tipo de pieles,Total,Brillante,"Liquido, Crema"
14,Ojos,Máscara de pestañas,Makeup By Mario,Master Mascara™,Máscara voluminizadora,33.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/master-mascara%e2%84%a2---m%c3%a1scara-voluminizadora-763218.html,Standard,,,,Voluminizador,,Todo tipo de pieles,,,Liquido
15,Ojos,Paleta de sombras de ojos,Dior,Diorshow 5 Couleurs edición limitada cannage,Paleta de sombras de ojos,76.0,0,0.0,4,2025-05-06,https://www.sephora.es/p/diorshow-5-couleurs-edicion-limitada-cannage---paleta-de-sombras-de-ojos-P1000207205.html,,,Irisado/Nacarado,,,,,,,
16,Rostro,Primer & spray fijador,Clinique,Even Better Light Reflecting Primer,Prebase iluminadora,40.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/even-better-light-reflecting-primer---prebase-iluminadora-660396.html,Standard,,,,,,Todo tipo de pieles,Ligera,Natural,"Crema, Gel"
17,Ojos,Máscara de pestañas,Rabanne Makeup,Rockstar Mascara,"Volumen Intenso, Negro Extremo, Longitud de Pestañas",22.0,8,5.0,0,2025-05-06,https://www.sephora.es/p/rockstar-mascara---volumen-intenso-negro-extremo-longitud-de-pestanas-761168.html,,,,,,,,,,
18,Ojos,Eyeliner,Dior,Diorshow Liquid Liner,Eyeliner rotulador color intenso y waterproof,43.0,0,0.0,9,2025-05-06,https://www.sephora.es/p/diorshow-liquid-liner---eyeliner-rotulador-color-intenso-y-waterproof-P1000207241.html,,,,,,,,,,Liquido
19,Ojos,Máscara de pestañas,Dior,Diorshow Overvolume,Máscara de pestañas efecto volumen extremo 24h,45.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/diorshow-overvolume---m%c3%a1scara-de-pestanas-efecto-volumen-extremo-24h-765727.html,,,,,Voluminizador,,,,,Liquido
20,Rostro,Polvos bronceadores,Benefit Cosmetics,Hoola Wave – Bálsamo bronceador,,41.0,1,5.0,5,2025-05-06,https://www.sephora.es/p/hoola-wave-%e2%80%93-b%c3%a1lsamo-bronceador-P10062002.html,,,,,,,Todo tipo de pieles,Ligera,Mate,Bálsamo
